age,gender,category,amount,transaction_hour,days_since_last_txn,is_foreign_country,fraud
42,F,food,60.97,7,7,0,0
26,F,food,327.34,14,1,0,0
64,M,clothing,157.5,9,6,0,0
77,F,fuel,5.81,11,0,0,0
55,F,entertainment,62.19,15,7,0,0
53,M,online,114.22,17,2,0,0
63,M,clothing,21.62,13,19,0,0
49,F,travel,8.66,16,12,0,0
70,F,grocery,64.02,11,0,0,0
79,F,clothing,12.88,5,0,0,0
47,M,food,19.58,10,3,0,0
31,M,electronics,171.23,9,7,1,0
63,M,food,52.46,6,11,0,0
28,F,atm,18.5,20,5,1,0
53,M,fuel,117.69,9,0,0,0
50,F,fuel,60.18,13,1,0,0
77,M,grocery,60.16,9,12,1,0
19,M,food,93.89,9,3,1,0
73,M,food,10.24,15,3,0,0
57,M,grocery,61.45,10,1,0,0
78,M,atm,68.99,15,5,0,0
66,M,health,100.81,13,1,0,0
49,M,entertainment,67.75,12,0,0,0
19,M,grocery,16.6,14,17,0,0
62,M,atm,31.5,17,30,0,0
71,M,atm,164.21,15,8,0,0
71,F,clothing,34.4,15,2,0,0
29,M,clothing,34.06,8,0,0,0
32,F,clothing,38.45,10,1,0,0
42,M,fuel,162.53,7,4,0,0
35,F,clothing,26.98,18,3,0,0
69,F,food,265.25,18,27,1,0
77,F,grocery,17.09,1,2,0,0
19,M,grocery,99.92,18,1,0,0
50,F,clothing,380.97,10,1,0,0
18,M,travel,76.76,20,32,0,0
77,M,food,117.5,9,3,0,0
50,F,clothing,79.13,7,8,0,0
43,F,health,28.79,14,0,0,0
54,M,food,51.61,20,2,0,0
22,M,electronics,124.17,18,5,0,0
63,F,grocery,41.68,17,5,0,0
48,M,clothing,446.21,16,4,0,0
48,F,grocery,31.32,5,5,0,0
79,M,online,196.47,19,15,0,0
24,M,online,33.31,16,8,0,0
75,M,fuel,22.38,8,1,0,0
46,M,online,21.26,19,3,0,0
59,M,travel,27.43,12,5,0,0
74,M,online,51.6,11,5,0,0
33,F,health,39.65,0,12,0,0
42,F,online,101.1,20,8,0,0
71,M,health,13.23,16,5,0,0
68,M,electronics,207.02,11,0,0,0
35,F,grocery,36.81,12,3,0,0
50,M,clothing,28.85,10,4,0,0
52,M,grocery,16.9,11,2,0,0
37,F,fuel,70.03,11,2,0,0
26,F,food,73.55,0,1,0,0
64,M,travel,4.9,19,8,0,0
76,F,clothing,118.12,7,12,0,0
43,F,health,19.97,13,18,0,0
67,M,grocery,45.55,19,0,0,0
47,M,atm,124.45,14,3,0,0
21,F,online,54.03,15,6,0,0
31,F,food,33.48,19,0,0,0
63,M,fuel,55.63,10,0,0,0
61,F,grocery,101.51,14,12,0,0
22,M,food,8.7,18,10,0,0
46,M,food,53.21,10,13,0,0
34,F,atm,10.19,13,16,0,0
38,F,online,94.63,0,4,0,0
45,M,fuel,47.85,8,0,0,0
63,F,food,45.42,17,6,0,0
31,M,electronics,45.49,17,5,0,0
43,F,clothing,15.4,20,4,0,0
44,F,travel,81.25,10,15,0,0
46,F,entertainment,165.52,9,8,0,0
20,M,entertainment,2.18,2,6,1,1
43,M,clothing,356.96,23,1,0,0
34,M,grocery,23.22,9,14,0,0
41,M,grocery,15.34,17,5,0,0
58,F,online,36.29,14,12,0,0
36,M,entertainment,7.58,9,27,0,0
34,M,clothing,107.41,11,18,0,0
35,M,electronics,1.05,16,1,1,1
35,F,grocery,54.18,22,10,0,0
59,M,fuel,15.97,5,9,0,0
49,F,electronics,30.46,17,11,0,0
78,M,entertainment,4.24,11,14,0,0
67,M,clothing,19.22,9,20,0,0
36,F,food,26.45,9,0,0,0
